created_at,full_text
2021-06-30 23:45:40+00:00,All the Details on Olivia Rodrigo's New Romance With Producer Adam Faze https://t.co/jNQJSz6r22
2021-06-30 23:25:18+00:00,"As long as Olivia Rodrigo is happy and healthy, we're on board. 👏 https://t.co/xbI7xcRHUi"
2021-06-30 23:21:03+00:00,A Devil Wears Prada quote gallery? For the 15th anniversary? Groundbreaking. (📷: Shutterstock) https://t.co/9zDVcHjFWP
2021-06-30 23:16:23+00:00,"Phylicia Rashad Addresses ""Insensitive"" Reaction to Bill Cosby's Prison Release https://t.co/IUxSENcJij"
2021-06-30 22:53:34+00:00,"#BachelorNation's Trista Sutter is pulling back the curtain on her husband, Ryan's, health battles: ""It's been hard. It's a really difficult thing to see the person that you love most in this world struggling.""  💔https://t.co/xNuGKpXLW9 https://t.co/jS1SEMK4lq"
2021-06-30 22:13:10+00:00,"Erika Jayne Opens Up About Not Feeling ""Loved"" By Estranged Husband Tom Girardi https://t.co/g4BPhEKdvf"
2021-06-30 21:51:35+00:00,Ryan Reynolds Is Now on TikTok and His First Video Will Delight Just Friends Fans https://t.co/XaGptHOWCD
2021-06-30 21:06:00+00:00,Former Victoria's Secret Model Bridget Malcolm Slams Brand While Recalling Personal Struggles https://t.co/oPuCEwW3L2
2021-06-30 20:53:04+00:00,"Gaga: *takes one step*
Us: talented, brilliant, incredible, amazing, show-stopping, spectacular, never the same, totally unique, completely not ever been done before. (📷: Getty) https://t.co/rqCrecR4j4"
2021-06-30 20:39:51+00:00,Prince Harry Shares Heartfelt Message About Fatherhood During Surprise London Appearance https://t.co/YeE6CjDM15
2021-06-30 20:16:25+00:00,The queen is coming and she's leading our new favorite #Netflix show. @IamSandraOh 👑 https://t.co/O3pUhNDTMe
2021-06-30 19:59:42+00:00,Phylicia Rashad and More Stars React to Bill Cosby's Overturned Conviction https://t.co/9Al5hx6bGR
2021-06-30 19:38:44+00:00,Go Inside Kelly Clarkson's New $5 Million Los Angeles Home https://t.co/f7rvoAuhJR
2021-06-30 19:16:57+00:00,"Khloe Kardashian Has the Best Plan to Shut Down Kendall Jenner's ""Baby Fever"" https://t.co/koi4ihuHBp"
2021-06-30 18:56:11+00:00,Cecily Strong Teases Her Future at Saturday Night Live https://t.co/IxEFmWbnUA
2021-06-30 18:36:22+00:00,"Bebe Rexha Proudly Poses in Lingerie: ""Let's Normalize 165 Lbs."" https://t.co/9PXcqXbLdb"
2021-06-30 18:15:17+00:00,"Black Panther Family ""Very Emotional"" as Sequel Starts Production Without Chadwick Boseman https://t.co/UBjE1SjkN1"
2021-06-30 18:09:29+00:00,Let’s be real… We’re all here for Kravis. Watch more #NecessaryRealness: https://t.co/AhZZaURJIk https://t.co/MRPdWVxE2x
2021-06-30 17:11:57+00:00,We’re taking a trip down memory lane in honor of the 15th anniversary of The Devil Wears Prada… That’s all. https://t.co/wX2HFIzZ9S
2021-06-30 17:02:21+00:00,"How Emily Simpson Really Feels About ""Shocking"" RHOC Cast Shakeup &amp; Heather Dubrow's Return https://t.co/Kx7mnza9mF"
2021-06-30 16:42:07+00:00,"H.E.R. Claps Back at ""Industry Plant"" Conspiracy Theory https://t.co/Pq7sxarBcf"
2021-06-30 16:38:39+00:00,"Britney Spears had a passionate message for the paparazzi: ""F--K YOU AND F--K OFF."" https://t.co/YEtaJx05YJ https://t.co/ap4WFP4IBL"
2021-06-30 16:17:46+00:00,Gilmore Girls' Keiko Agena Has This Regret Over Her Real-Life Friendship With Alexis Bledel https://t.co/TkmOOhK7IO
2021-06-30 15:56:22+00:00,The Bold Type Stars Pick the Show's Best and Worst Moments https://t.co/OiM0uXUHTW
2021-06-30 15:34:38+00:00,The Real Housewives of Potomac's Season 6 Taglines Are Instantly Iconic https://t.co/gVMLSg8h7c
2021-06-30 15:12:27+00:00,"Schitt's Creek Star Annie Murphy Recalls Being ""Unable to Get Up"" Amid Battle With Depression https://t.co/8jhrgBy7WM"
2021-06-30 14:51:40+00:00,"Exclusive: Let's go around the circle and say our favorite new tagline from this season of #RHOP, we'll go first:  ""The secret to this pretty face is staying in the shade."" https://t.co/gAPASNsPjT https://t.co/9sC77NtnoC"
2021-06-30 14:39:52+00:00,Go Inside G-Eazy's Gorgeous Los Angeles Home--Complete With A Recording Studio https://t.co/Z51CoVBV9Z
2021-06-30 14:18:02+00:00,Where Kevin Federline's Relationship With Britney Spears Stands 15 Years After Split https://t.co/CSuM8ioG3A
2021-06-30 13:36:13+00:00,"Candace Cameron Bure Thanks Lori Loughlin for Being Her ""Wing Woman"" the Night She Met Her Husband https://t.co/drdyubJNu6"
2021-06-30 12:31:28+00:00,"Rumer Willis Fires Back at ""Really Inappropriate"" Body Shamers for Saying She ""Needs to Eat"" https://t.co/Rd2LOYiG1y"
2021-06-30 12:00:33+00:00,See Her. Hear Her. #EmpowHER (📷 : Getty) https://t.co/hbfRye2Rfa
2021-06-30 11:49:14+00:00,Sonja Morgan Reveals Details About Her Previous Secret Romance With Ryan Serhant https://t.co/tvGIzqKVGc
2021-06-30 11:29:03+00:00,Candace Cameron Bure Shares Her Must-Haves for a Fuller Summer https://t.co/eoPGpZ26dw
2021-06-30 11:06:53+00:00,The Haunting Crime and Bizarre Investigation Behind Netflix's Sophie: A Murder in West Cork https://t.co/4S3pPwvWHD
2021-06-30 06:51:06+00:00,The Weeknd Joins Forces With Euphoria Creator for HBO Cult Drama Series https://t.co/WtffpJKHwZ
2021-06-30 06:29:43+00:00,Upgrade Your Summer Wardrobe With Polo Ralph Lauren's Capsule Collection With FEED https://t.co/xZBGkNdyVB
2021-06-30 06:08:26+00:00,Serena Williams' Regal Wimbledon Outfit Is More Proof She'll Always Be a Style Queen https://t.co/2cLJIDmAZm
2021-06-30 05:47:11+00:00,See the Cast of Scrubs Thank Essential Workers in Touching Reunion Road Trip Clip https://t.co/XnklzubWxK
